queryName	genotypeFinalClade	genotypeCladeBalance	genotypeClosestMemberAlignmentName	genotypeClosestMemberSourceName	genotypeClosestMemberSequenceID	subtypeFinalClade	subtypeCladeBalance	subtypeClosestMemberAlignmentName	subtypeClosestMemberSourceName	subtypeClosestMemberSequenceID
ncbi-hev/KF691575	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.13%, AL_4b:0.65%, AL_4e:0.47%, AL_4a:0.40%, AL_4g:0.35%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691576	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:84.25%, AL_4d:3.46%, AL_4e:2.64%, AL_4a:2.15%, AL_4g:1.88%, AL_4f:1.57%, AL_4_AB369688:1.48%, AL_4c:1.41%, AL_4i:1.17%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/KF691577	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4b	AL_4b:98.89%, AL_4d:0.37%, AL_4e:0.29%, AL_4a:0.24%, AL_4g:0.22%	AL_4b	ncbi-hev	DQ279091
ncbi-hev/KF691578	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.77%, AL_4b:0.70%, AL_4e:0.52%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691579	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.56%, AL_4b:0.83%, AL_4e:0.62%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691580	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.28%, AL_4b:0.99%, AL_4e:0.73%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691581	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.28%, AL_4b:0.98%, AL_4e:0.73%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691582	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:94.16%, AL_4b:1.43%, AL_4e:1.02%, AL_4a:0.85%, AL_4g:0.74%, AL_4f:0.63%, AL_4_AB369688:0.60%, AL_4c:0.57%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691583	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.27%, AL_4b:0.99%, AL_4e:0.74%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691584	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:97.65%, AL_4b:1.35%, AL_4e:1.00%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691585	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:99.99%, AL_3j:0.00%, AL_3b:0.00%, AL_3_AB369689:0.00%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%	AL_3a	ncbi-hev	AF082843
ncbi-hev/KF691586	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.25%, AL_4e:0.75%	AL_4a	ncbi-hev	AB197673
ncbi-hev/KF691587	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.25%, AL_4b:0.60%, AL_4e:0.44%, AL_4a:0.37%, AL_4g:0.33%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691588	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:97.56%, AL_4e:1.14%, AL_4b:0.68%, AL_4d:0.63%	AL_4a	ncbi-hev	AB197673
ncbi-hev/KF691589	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:94.16%, AL_4b:1.76%, AL_4e:1.27%, AL_4a:1.07%, AL_4g:0.94%, AL_4f:0.81%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691590	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:91.46%, AL_4b:2.28%, AL_4e:1.65%, AL_4a:1.38%, AL_4g:1.22%, AL_4f:1.04%, AL_4_AB369688:0.98%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691591	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:98.28%, AL_4e:1.72%	AL_4a	ncbi-hev	AB197673
ncbi-hev/KF691592	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:100.00%, AL_4b:0.00%, AL_4e:0.00%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691593	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:100.00%, AL_4b:0.00%, AL_4e:0.00%, AL_4a:0.00%, AL_4g:0.00%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691594	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:98.61%, AL_4e:1.39%	AL_4a	ncbi-hev	AB197673
ncbi-hev/KF691595	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:96.05%, AL_4b:0.96%, AL_4e:0.69%, AL_4a:0.57%, AL_4g:0.51%, AL_4f:0.43%, AL_4_AB369688:0.41%, AL_4c:0.39%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691596	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:99.99%, AL_4e:0.00%, AL_4b:0.00%, AL_4d:0.00%, AL_4g:0.00%, AL_4f:0.00%, AL_4_AB369688:0.00%, AL_4c:0.00%	AL_4a	ncbi-hev	AB197673
ncbi-hev/KF691597	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:97.16%, AL_4b:0.98%, AL_4e:0.72%, AL_4a:0.60%, AL_4g:0.54%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691598	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4i	AL_4i:98.86%, AL_4g:0.20%, AL_4f:0.16%, AL_4_AB369688:0.15%, AL_4c:0.15%, AL_4e:0.14%, AL_4b:0.12%, AL_4a:0.12%, AL_4d:0.11%	AL_4i	ncbi-hev	DQ450072
ncbi-hev/KF691599	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4a	AL_4a:92.67%, AL_4e:1.87%, AL_4b:1.01%, AL_4d:0.93%, AL_4g:0.88%, AL_4f:0.74%, AL_4_AB369688:0.69%, AL_4c:0.66%, AL_4i:0.55%	AL_4a	ncbi-hev	AB197673
ncbi-hev/KF691600	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:100.00%, AL_4b:0.00%, AL_4e:0.00%, AL_4a:0.00%, AL_4g:0.00%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691601	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:98.71%, AL_4b:0.54%, AL_4e:0.40%, AL_4a:0.34%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691602	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1b	AL_1b:99.62%, AL_1a:0.16%, AL_1c:0.16%, AL_1f:0.04%, AL_1e:0.01%, AL_1d:0.01%	AL_1b	ncbi-hev	D11092
ncbi-hev/KF691603	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:100.00%, AL_4b:0.00%, AL_4e:0.00%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691604	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:99.99%, AL_4b:0.01%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691605	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4g	AL_4g:62.31%, AL_4_AB369688:10.22%, AL_4f:7.73%, AL_4c:6.92%, AL_4e:4.35%, AL_4h:4.28%, AL_4i:3.84%, AL_4b:0.12%, AL_4a:0.12%, AL_4d:0.11%	AL_4g	ncbi-hev	AB108537
ncbi-hev/KF691606	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4g	AL_4g:63.36%, AL_4_AB369688:8.14%, AL_4f:6.01%, AL_4c:5.33%, AL_4e:3.23%, AL_4h:3.17%, AL_4i:2.83%, AL_4b:2.71%, AL_4a:2.71%, AL_4d:2.52%	AL_4g	ncbi-hev	AB108537
ncbi-hev/KF691607	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1b	AL_1b:99.49%, AL_1a:0.23%, AL_1c:0.22%, AL_1f:0.05%, AL_1e:0.01%, AL_1d:0.01%	AL_1b	ncbi-hev	D11092
ncbi-hev/KF691608	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1b	AL_1b:99.62%, AL_1a:0.16%, AL_1c:0.16%, AL_1f:0.04%, AL_1e:0.01%, AL_1d:0.01%	AL_1b	ncbi-hev	D11092
ncbi-hev/KF691609	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	-	AL_4g:28.69%, AL_4_AB369688:14.86%, AL_4f:12.56%, AL_4c:10.94%, AL_4e:6.20%, AL_4h:6.08%, AL_4i:5.78%, AL_4b:5.10%, AL_4a:5.09%, AL_4d:4.69%	-	-	-
ncbi-hev/KF691610	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:96.20%, AL_4b:1.32%, AL_4e:0.96%, AL_4a:0.81%, AL_4g:0.72%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF691611	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:99.99%, AL_3j:0.01%, AL_3b:0.00%, AL_3_AB369689:0.00%	AL_3a	ncbi-hev	AF082843
ncbi-hev/KF691612	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4d	AL_4d:99.05%, AL_4b:0.95%	AL_4d	ncbi-hev	AJ272108
ncbi-hev/KF703731	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4h	AL_4h:99.77%, AL_4c:0.14%, AL_4f:0.09%	AL_4h	ncbi-hev	GU119961
ncbi-hev/KF706392	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3e:30.30%, AL_3_AB290313:24.07%, AL_3f:23.76%, AL_3_KJ873911:10.04%, AL_3_EU360977:10.00%, AL_3g:1.83%	-	-	-
ncbi-hev/KF706393	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_AB290313	AL_3_AB290313:77.26%, AL_3f:9.92%, AL_3_KJ873911:4.06%, AL_3_EU360977:4.04%, AL_3e:4.62%, AL_3g:0.10%	AL_3_AB290313	ncbi-hev	AB290313
ncbi-hev/KF719308	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:87.65%, AL_3j:5.14%, AL_3b:3.63%, AL_3_AB369689:3.58%	AL_3a	ncbi-hev	AF082843
ncbi-hev/KF719309	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3b	AL_3b:65.16%, AL_3a:13.07%, AL_3_AB369689:11.98%, AL_3j:9.35%, AL_3i:0.23%, AL_3h:0.06%, AL_3_AB290312:0.05%, AL_3_JQ953664:0.05%, AL_3c:0.04%	AL_3b	ncbi-hev	AP003430
ncbi-hev/KF719310	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:99.94%, AL_3j:0.02%, AL_3b:0.01%, AL_3_AB369689:0.01%, AL_3i:0.00%, AL_3h:0.00%, AL_3_AB290312:0.00%, AL_3_JQ953664:0.00%	AL_3a	ncbi-hev	AF082843
ncbi-hev/KF719311	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:58.96%, AL_3a:14.79%, AL_3_AB369689:13.92%, AL_3j:10.97%, AL_3i:1.37%	-	-	-
ncbi-hev/KF719312	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:58.96%, AL_3a:14.79%, AL_3_AB369689:13.92%, AL_3j:10.97%, AL_3i:1.37%	-	-	-
ncbi-hev/KF719313	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:60.08%, AL_3a:14.26%, AL_3_AB369689:13.26%, AL_3j:10.38%, AL_3i:0.90%, AL_3h:0.37%, AL_3_AB290312:0.35%, AL_3_JQ953664:0.32%, AL_3c:0.08%	-	-	-
ncbi-hev/KF719314	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:53.68%, AL_3a:17.10%, AL_3_AB369689:16.29%, AL_3j:12.25%, AL_3i:0.70%	-	-	-
ncbi-hev/KF719315	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:53.75%, AL_3a:19.22%, AL_3_AB369689:13.62%, AL_3j:13.15%, AL_3i:0.25%	-	-	-
ncbi-hev/KF719316	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3b:52.97%, AL_3a:17.03%, AL_3_AB369689:16.86%, AL_3j:12.62%, AL_3i:0.51%	-	-	-
ncbi-hev/KF734739	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734740	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734741	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:88.79%, AL_1d:4.20%, AL_1c:2.25%, AL_1b:2.08%, AL_1a:1.78%, AL_1f:0.90%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734742	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734743	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734744	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:89.41%, AL_1d:3.96%, AL_1c:2.13%, AL_1b:1.97%, AL_1a:1.68%, AL_1f:0.86%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734745	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.52%, AL_1d:2.76%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734746	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:91.05%, AL_1d:3.28%, AL_1c:1.81%, AL_1b:1.68%, AL_1a:1.44%, AL_1f:0.75%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734747	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:91.05%, AL_1d:3.28%, AL_1c:1.81%, AL_1b:1.68%, AL_1a:1.44%, AL_1f:0.75%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734748	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:87.54%, AL_1d:4.62%, AL_1c:2.51%, AL_1b:2.32%, AL_1a:1.99%, AL_1f:1.02%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734749	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.52%, AL_1d:2.76%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734750	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734751	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734752	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:90.35%, AL_1d:3.48%, AL_1c:1.95%, AL_1b:1.82%, AL_1a:1.57%, AL_1f:0.83%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734753	AL_2	AL_2:100.00%	AL_2a	ncbi-hev	M74506	AL_2a	AL_2a:100.00%	AL_2a	ncbi-hev	M74506
ncbi-hev/KF734754	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:90.35%, AL_1d:3.48%, AL_1c:1.95%, AL_1b:1.82%, AL_1a:1.57%, AL_1f:0.83%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734755	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:93.94%, AL_1d:2.25%, AL_1c:1.22%, AL_1b:1.13%, AL_1a:0.97%, AL_1f:0.50%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734756	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:90.24%, AL_1d:3.51%, AL_1c:1.98%, AL_1b:1.84%, AL_1a:1.59%, AL_1f:0.84%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734757	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.54%, AL_1d:2.75%, AL_1c:1.50%, AL_1b:1.39%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734758	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:90.87%, AL_1d:3.25%, AL_1c:1.85%, AL_1b:1.73%, AL_1a:1.50%, AL_1f:0.81%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734759	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:93.94%, AL_1d:2.25%, AL_1c:1.22%, AL_1b:1.13%, AL_1a:0.97%, AL_1f:0.50%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734760	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734761	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.48%, AL_1d:2.78%, AL_1c:1.51%, AL_1b:1.40%, AL_1a:1.20%, AL_1f:0.62%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF734762	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	AL_1e	AL_1e:92.66%, AL_1d:2.53%, AL_1c:1.50%, AL_1b:1.40%, AL_1a:1.22%, AL_1f:0.68%	AL_1e	ncbi-hev	AY204877
ncbi-hev/KF736234	AL_4	AL_4:100.00%	AL_4c	ncbi-hev	AB074915	AL_4h	AL_4h:100.00%, AL_4c:0.00%, AL_4f:0.00%, AL_4g:0.00%, AL_4_AB369688:0.00%	AL_4h	ncbi-hev	GU119961
ncbi-hev/KF751184	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:95.19%, AL_3i:4.81%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/KF751185	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3c	AL_3c:92.81%, AL_3i:4.37%, AL_3h:1.01%, AL_3_AB290312:0.94%, AL_3_JQ953664:0.87%	AL_3c	ncbi-hev	FJ705359
ncbi-hev/KF751218	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3a	AL_3a:78.52%, AL_3j:8.49%, AL_3b:5.95%, AL_3_AB369689:5.88%, AL_3i:1.16%	AL_3a	ncbi-hev	AF082843
ncbi-hev/KF751219	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3i:51.74%, AL_3c:16.46%, AL_3h:13.67%, AL_3_AB290312:9.46%, AL_3_JQ953664:8.35%, AL_3_AB369689:0.16%, AL_3a:0.15%	-	-	-
ncbi-hev/KF751220	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_AB369689:47.13%, AL_3a:18.24%, AL_3b:16.52%, AL_3j:12.60%, AL_3i:4.16%, AL_3h:0.61%, AL_3_AB290312:0.57%, AL_3_JQ953664:0.10%, AL_3c:0.09%	-	-	-
ncbi-hev/KF751221	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3i:52.89%, AL_3c:13.95%, AL_3h:17.90%, AL_3_AB290312:8.21%, AL_3_JQ953664:6.88%, AL_3_AB369689:0.06%, AL_3a:0.06%, AL_3b:0.05%	-	-	-
ncbi-hev/KF765479	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3a:38.28%, AL_3j:24.46%, AL_3b:15.87%, AL_3_AB369689:15.68%, AL_3i:2.47%, AL_3h:1.64%, AL_3_AB290312:1.54%, AL_3_JQ953664:0.04%, AL_3c:0.01%	-	-	-
ncbi-hev/KF777253	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1f:42.02%, AL_1a:44.64%, AL_1b:7.03%, AL_1c:5.31%, AL_1e:0.56%, AL_1d:0.44%	-	-	-
ncbi-hev/KF777254	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1f:41.74%, AL_1a:44.70%, AL_1b:7.14%, AL_1c:5.40%, AL_1e:0.58%, AL_1d:0.45%	-	-	-
ncbi-hev/KF777255	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1f:39.48%, AL_1a:45.32%, AL_1b:7.92%, AL_1c:6.05%, AL_1e:0.69%, AL_1d:0.54%	-	-	-
ncbi-hev/KF777256	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1f:41.76%, AL_1a:44.69%, AL_1b:7.13%, AL_1c:5.39%, AL_1e:0.57%, AL_1d:0.45%	-	-	-
ncbi-hev/KF777257	AL_1	AL_1:100.00%	AL_1d	ncbi-hev	AY230202	-	AL_1f:42.02%, AL_1a:44.64%, AL_1b:7.03%, AL_1c:5.31%, AL_1e:0.56%, AL_1d:0.44%	-	-	-
ncbi-hev/KF793829	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_EU360977:60.55%, AL_3_KJ873911:17.91%, AL_3f:15.34%, AL_3_AB290313:4.00%, AL_3e:2.19%	-	-	-
ncbi-hev/KF793830	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_JQ953664	AL_3_JQ953664:96.54%, AL_3g:3.46%	AL_3_JQ953664	ncbi-hev	JQ953664
ncbi-hev/KF888259	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_JQ953664:58.79%, AL_3h:14.96%, AL_3_AB290312:13.69%, AL_3i:8.27%, AL_3c:4.29%	-	-	-
ncbi-hev/KF888260	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_JQ953664	AL_3_JQ953664:61.02%, AL_3h:15.66%, AL_3_AB290312:14.40%, AL_3i:8.92%	AL_3_JQ953664	ncbi-hev	JQ953664
ncbi-hev/KF888261	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3g	AL_3g:100.00%	AL_3g	ncbi-hev	AF455784
ncbi-hev/KF888262	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3i:31.19%, AL_3c:12.46%, AL_3h:19.65%, AL_3_AB290312:17.47%, AL_3_JQ953664:14.38%, AL_3_AB369689:2.11%, AL_3a:1.99%, AL_3b:0.41%, AL_3j:0.33%	-	-	-
ncbi-hev/KF888263	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3g	AL_3g:62.31%, AL_3e:37.69%	AL_3g	ncbi-hev	AF455784
ncbi-hev/KF888264	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_JQ953664:34.78%, AL_3h:23.91%, AL_3_AB290312:21.74%, AL_3i:19.57%	-	-	-
ncbi-hev/KF888265	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	-	-	-	-
ncbi-hev/KF888266	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3f	AL_3f:72.53%, AL_3_KJ873911:9.29%, AL_3_EU360977:9.25%, AL_3_AB290313:5.83%, AL_3e:3.09%	AL_3f	ncbi-hev	AB369687
ncbi-hev/KF888267	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_JQ953664	AL_3_JQ953664:74.93%, AL_3h:12.64%, AL_3_AB290312:11.32%, AL_3i:1.12%	AL_3_JQ953664	ncbi-hev	JQ953664
ncbi-hev/KF888268	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_JQ953664	AL_3_JQ953664:75.87%, AL_3h:8.73%, AL_3_AB290312:8.03%, AL_3i:5.77%, AL_3c:0.52%, AL_3_AB369689:0.31%, AL_3a:0.29%, AL_3b:0.27%, AL_3j:0.22%	AL_3_JQ953664	ncbi-hev	JQ953664
ncbi-hev/KF888269	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_JQ953664	AL_3_JQ953664:73.92%, AL_3h:8.95%, AL_3_AB290312:8.17%, AL_3i:5.45%, AL_3c:2.72%, AL_3_AB369689:0.23%, AL_3a:0.21%, AL_3b:0.20%, AL_3j:0.16%	AL_3_JQ953664	ncbi-hev	JQ953664
ncbi-hev/KF888270	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	-	AL_3_JQ953664:60.90%, AL_3h:12.38%, AL_3_AB290312:11.34%, AL_3i:9.72%, AL_3c:1.87%, AL_3_AB369689:1.08%, AL_3a:1.01%, AL_3b:0.94%, AL_3j:0.76%	-	-	-
ncbi-hev/KF888271	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_JQ953664	AL_3_JQ953664:71.11%, AL_3h:11.11%, AL_3_AB290312:10.25%, AL_3i:6.89%, AL_3c:0.41%, AL_3_AB369689:0.09%, AL_3a:0.08%, AL_3b:0.07%	AL_3_JQ953664	ncbi-hev	JQ953664
ncbi-hev/KF888272	AL_3	AL_3:100.00%	AL_3e	ncbi-hev	AB248521	AL_3_JQ953664	AL_3_JQ953664:72.92%, AL_3h:9.70%, AL_3_AB290312:8.98%, AL_3i:6.73%, AL_3c:0.72%, AL_3_AB369689:0.42%, AL_3a:0.40%, AL_3b:0.13%	AL_3_JQ953664	ncbi-hev	JQ953664
